sub_ffe00340: !!boot_setup_947
sub_ffe00384: !!boot_setup_hids
sub_ffe003f4: !!boot_zero_power_management_monitor_registers
sub_ffe00414: !!boot_zero_registers
sub_ffe00580: !!boot_setup_bats
sub_ffe00cfc: !!early_print
sub_ffe01c64: !!setup_fe750000_region
sub_ffe807b4: !!load_kdebug
dat_ffe85070: !!syscall_table_85070
dat_ffe85470: !!some_function_table_85470
dat_ffea9ce0: !!syscall_table_a9ce0
dat_ffeaa0e0: !!syscall_table_aa0e0
sub_ffee0000: !!KiInitAddressSpace
sub_ffee0714: !!syscall_extended_6e_SwitchSecCodeGenMode
sub_ffee0754: !!syscall_extended_77_GetSecCodeGenMode
sub_ffee08b4: !!verify_userspace_pointer
sub_ffee08bc: !!syscall_extended_78_CodegenCopy
sub_ffee0a60: !!PhysicalToEffectiveUncachedImpl
sub_fff00000: !!exception_vector_reset
sub_fff00100: !!exception_vector_soft_reset
sub_fff00200: !!exception_vector_machine_check
sub_fff00300: !!exception_vector_dsi
sub_fff00400: !!exception_vector_isi
sub_fff00500: !!exception_vector_interrupt
sub_fff00600: !!exception_vector_alignment
sub_fff00700: !!exception_vector_program
sub_fff00900: !!exception_vector_decrementer
sub_fff00a00: !!exception_vector_unused_a00
sub_fff00b00: !!exception_vector_unused_b00
sub_fff00c00: !!exception_vector_syscall
sub_fff01804: !!syscall_extended_71
sub_fff0180c: !!KiInitKernelFinish
sub_fff01890: !!print_diag
sub_fff018c0: !!unimplemented_system_call_handler
sub_fff018d4: !!non_recoverable_system_call_handler
sub_fff0191c: !!syscall_14_part2
sub_fff01b44: !!call_ospanic_with_20
sub_fff01b94: !!syscall_SetFPUContext_part2
sub_fff01bd8: !!syscall_13_mmcrandpmc
sub_fff01c24: !!syscall_6_part2
sub_fff01c70: !!syscall_dispatch_8_part2
sub_fff01d60: !!dispatch_extended_syscall
sub_fff01edc: !!syscall_dispatch_17_OSReadRegister32Ex_part2
sub_fff01f00: !!OSWriteRegister32Ex_part2
sub_fff01f20: !!syscall_dispatch_19_part2
sub_fff01f4c: !!syscall_dispatch_20_part2
sub_fff01fb4: !!syscall_dispatch_21_part2
sub_fff01fec: !!syscall_dispatch_22_part2
sub_fff02040: !!syscall_dispatch_table_0
sub_fff02060: !!syscall_dispatch_1
sub_fff02080: !!syscall_dispatch_2
sub_fff020a0: !!syscall_dispatch_3
sub_fff020c0: !!syscall_dispatch_4
sub_fff020e0: !!syscall_dispatch_5
sub_fff02100: !!syscall_dispatch_6
sub_fff02120: !!syscall_dispatch_7
sub_fff02140: !!syscall_dispatch_8
sub_fff02160: !!syscall_dispatch_9_GetCurrentFPUContext
sub_fff02180: !!syscall_dispatch_10_SetCurrentFPUContext
sub_fff021a0: !!syscall_dispatch_11
sub_fff021c0: !!syscall_dispatch_12_set_gather_pipe
sub_fff021e0: !!syscall_dispatch_13_mmcrandpmc
